Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
126489536,00000260,false,Rx,0,4,C8,C8,7D,00,00,00,00,00,
126491007,000002DE,false,Rx,0,8,00,00,00,00,00,00,03,70,
126492175,000001CB,false,Rx,0,7,00,01,FF,CE,60,03,A3,00,
126492383,000001CC,false,Rx,0,4,00,3F,F5,35,00,00,00,00,
126494435,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126494442,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126494447,00000385,false,Rx,0,7,00,00,00,00,00,00,00,00,
126498579,00000512,false,Rx,0,4,03,2C,FF,FF,00,00,00,00,
126498758,000005E4,false,Rx,0,3,04,00,00,00,00,00,00,00,
126498945,00000174,false,Rx,0,8,00,00,00,AA,06,00,00,00,
126499149,00000176,false,Rx,0,7,00,00,00,00,00,00,06,00,
126499480,00000180,false,Rx,0,8,00,00,00,00,00,00,26,00,
126499658,000001D5,false,Rx,0,5,00,00,00,02,D8,00,00,00,
126500681,00000300,false,Rx,0,1,04,00,00,00,00,00,00,00,
126501000,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126501329,000002DE,false,Rx,0,8,00,00,00,00,00,00,03,70,
126502065,000001CB,false,Rx,0,7,00,01,FF,CE,60,00,A9,00,
126502248,000001CC,false,Rx,0,4,00,3F,F5,42,00,00,00,00,
126503977,00000342,false,Rx,0,4,03,2C,FF,FF,00,00,00,00,
126504159,00000351,false,Rx,0,8,00,00,00,00,00,02,42,02,
126508796,00000180,false,Rx,0,8,00,00,00,00,00,00,27,00,
126508986,00000174,false,Rx,0,8,00,00,00,AA,07,00,00,00,
126509315,00000176,false,Rx,0,7,00,00,00,00,00,00,07,00,
126509495,000001D5,false,Rx,0,5,00,00,00,03,D9,00,00,00,
126509674,00000002,false,Rx,0,5,67,01,00,07,70,00,00,00,
126509884,00000260,false,Rx,0,4,C8,C8,7D,00,00,00,00,00,
126509890,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
126511346,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126511665,00000509,false,Rx,0,8,FF,71,45,41,00,55,70,FF,
126512126,000001CB,false,Rx,0,7,00,01,FF,CE,60,01,2C,00,
126512313,000001CC,false,Rx,0,4,00,3F,F5,53,00,00,00,00,
126514440,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126514446,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126518711,00000180,false,Rx,0,8,00,00,00,00,00,00,28,00,
126519030,00000174,false,Rx,0,8,00,00,00,AA,08,00,00,00,
126519214,00000176,false,Rx,0,7,00,00,00,00,00,00,08,00,
126519402,000001D5,false,Rx,0,5,00,00,00,00,D6,00,00,00,
126519580,00000002,false,Rx,0,5,67,01,00,07,61,00,00,00,
126520602,00000300,false,Rx,0,1,04,00,00,00,00,00,00,00,
126521347,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126521527,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126521844,00000355,false,Rx,0,8,00,00,00,00,00,00,60,00,
126522166,000001CB,false,Rx,0,7,00,01,FF,CE,60,02,26,00,
126522351,000001CC,false,Rx,0,4,00,3F,F5,60,00,00,00,00,
126528730,00000180,false,Rx,0,8,00,00,00,00,00,00,29,00,
126529048,00000174,false,Rx,0,8,00,00,00,AA,09,00,00,00,
126529231,00000176,false,Rx,0,7,00,00,00,00,00,00,09,00,
126529418,000001D5,false,Rx,0,5,00,00,00,01,D7,00,00,00,
126529597,00000002,false,Rx,0,5,67,01,00,07,52,00,00,00,
126529776,00000260,false,Rx,0,4,C8,C8,7D,00,00,00,00,00,
126531370,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126532106,000001CB,false,Rx,0,7,00,01,FF,CE,60,03,A3,00,
126532290,000001CC,false,Rx,0,4,00,3F,F5,71,00,00,00,00,
126533452,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126534425,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126534431,00000625,false,Rx,0,6,02,00,FF,1D,20,00,00,00,
126538837,00000180,false,Rx,0,8,00,00,00,00,00,00,2A,00,
126539017,00000174,false,Rx,0,8,00,00,00,AA,0A,00,00,00,
126539347,00000176,false,Rx,0,7,00,00,00,00,00,00,0A,00,
126539526,000001D5,false,Rx,0,5,00,00,00,02,D8,00,00,00,
126539705,00000002,false,Rx,0,5,67,01,00,07,43,00,00,00,
126540604,00000300,false,Rx,0,1,04,00,00,00,00,00,00,00,
126540922,000005C5,false,Rx,0,8,40,01,67,67,00,0C,00,00,
126541245,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
